"yearID","teamID","lgID","playerID","G_all","GS","G_batting","G_defense","G_p","G_c","G_1b","G_2b","G_3b","G_ss","G_lf","G_cf","G_rf","G_of","G_dh","G_ph","G_pr","mainPos"
2020,"MIL","NL","claudal01",20,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,"P"
2020,"PHI","NL","cleavga01",1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"P"
2020,"CLE","AL","clevimi01",4,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,"P"
2020,"SDN","NL","clevimi01",4,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,"P"
2020,"MIN","AL","clippty01",26,2,0,26,26,0,0,0,0,0,0,0,0,0,0,0,0,"P"
2020,"BAL","AL","cobbal01",10,10,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,"P"
2020,"TEX","AL","codyky01",8,5,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,"P"
2020,"TOR","AL","coleaj01",24,0,0,24,24,0,0,0,0,0,0,0,0,0,0,0,0,"P"
2020,"NYA","AL","colege01",12,12,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,"P"
2020,"MIN","AL","colined01",1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"P"
2020,"CHA","AL","colliza01",9,4,9,3,0,2,1,0,0,0,0,0,0,0,5,3,1,"DH"
2020,"CHA","AL","colomal01",21,0,0,21,21,0,0,0,0,0,0,0,0,0,0,0,0,"P"
2020,"CIN","NL","colonch01",11,6,11,8,0,0,1,7,0,0,0,0,0,0,3,2,0,"2B"
2020,"NYN","NL","confomi01",54,53,54,52,0,0,0,0,0,0,0,0,52,52,1,1,0,"RF"
2020,"CHN","NL","contrwi01",57,57,57,41,0,41,0,0,0,0,0,0,0,0,18,0,0,"C"
2020,"ATL","NL","contrwi02",4,2,4,4,0,4,0,0,0,0,0,0,0,0,0,0,0,"C"
2020,"SFN","NL","coonrsa01",18,0,0,18,18,0,0,0,0,0,0,0,0,0,0,0,0,"P"
2020,"MIA","NL","coopega03",34,33,34,15,0,0,15,0,0,0,0,0,0,0,18,1,0,"DH"
2020,"WAS","NL","corbipa01",11,11,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,"P"
2020,"KCA","AL","cordefr02",16,9,16,12,0,0,0,0,0,0,1,5,8,12,3,5,0,"RF"
2020,"CHA","AL","cordeji01",30,0,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,"P"
2020,"NYN","NL","cordery01",5,2,5,5,0,0,0,0,0,0,0,4,1,5,0,0,1,"CF"
2020,"HOU","AL","correca01",58,56,58,57,0,0,0,0,0,57,0,0,0,0,0,2,0,"SS"
2020,"SEA","AL","cortene01",5,1,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,"P"
2020,"MIN","AL","couloda01",2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,"P"
2020,"BOS","AL","coveydy01",8,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,"P"
2020,"PIT","NL","craigwi01",2,1,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,"1B"
2020,"SFN","NL","crawfbr01",54,47,54,53,0,0,0,0,0,53,0,0,0,0,0,1,0,"SS"
2020,"SEA","AL","crawfjp01",53,53,53,53,0,0,0,0,0,53,0,0,0,0,0,0,0,"SS"
