year.key,league.key,team.key,franchise.key,team.key.bbref,team.key.lahman45,team.key.retro,name
1884,UA,BSU,BRD,BOS,BSU,BSU,Boston Reds
1884,NL,CHN,CHC,CHC,CHN,CHN,Chicago White Stockings
1884,UA,CHU,CPI,CPI,CHU,CHU,Chicago/Pittsburgh (Union League)
1884,NL,CL2,CBL,CLV,CL2,CL2,Cleveland Blues
1884,AA,CL5,CBK,COL,CL5,CL5,Columbus Buckeyes
1884,AA,CN2,CIN,CIN,CN2,CN2,Cincinnati Red Stockings
1884,UA,CNU,COR,COR,CNU,CNU,Cincinnati Outlaw Reds
1884,NL,DTN,DTN,DTN,DTN,DTN,Detroit Wolverines
1884,AA,IN2,IHO,IND,IN2,IN2,Indianapolis Hoosiers
1884,UA,KCU,KCU,KCC,KCU,KCU,Kansas City Cowboys
1884,AA,LS2,LOU,LOU,LS2,LS2,Louisville Eclipse
1884,UA,MLU,MLU,MIL,MLU,MLU,Milwaukee Brewers
1884,NL,NY1,SFG,NYG,NY1,NY1,New York Gothams
1884,AA,NY4,NYP,NYP,NY4,NY4,New York Metropolitans
1884,AA,PH4,PHA,PHA,PH4,PH4,Philadelphia Athletics
1884,NL,PHI,PHI,PHI,PHI,PHI,Philadelphia Quakers
1884,UA,PHU,PHK,PHK,PHU,PHU,Philadelphia Keystones
1884,NL,PRO,PRO,PRO,PRO,PRO,Providence Grays
1884,AA,PT1,PIT,PIT,PT1,PT1,Pittsburg Alleghenys
1884,AA,RIC,RIC,RIC,RIC,RIC,Richmond Virginians
1884,AA,SL4,STL,STL,SL4,SL4,St. Louis Browns
1884,UA,SLU,SLM,SLM,SLU,SLU,St. Louis Maroons
1884,UA,SPU,STP,STP,SPU,SPU,St. Paul White Caps
1884,AA,TL1,TOL,TOL,TL1,TL1,Toledo Blue Stockings
1884,UA,WIL,WIL,WIL,WIL,WIL,Wilmington Quicksteps
1884,AA,WS7,WST,WAS,WS7,WS7,Washington Nationals
1884,UA,WSU,WNA,WHS,WSU,WSU,Washington Nationals
1885,NL,BFN,BUF,BUF,BFN,BFN,Buffalo Bisons
1885,AA,BL2,BLO,BAL,BL2,BL2,Baltimore Orioles
1885,AA,BR3,LAD,BRO,BR3,BR3,Brooklyn Grays
1885,NL,BSN,ATL,BSN,BSN,BSN,Boston Beaneaters
1885,NL,CHN,CHC,CHC,CHN,CHN,Chicago White Stockings
1885,AA,CN2,CIN,CIN,CN2,CN2,Cincinnati Red Stockings
1885,NL,DTN,DTN,DTN,DTN,DTN,Detroit Wolverines
1885,AA,LS2,LOU,LOU,LS2,LS2,Louisville Colonels
1885,NL,NY1,SFG,NYG,NY1,NY1,New York Giants
1885,AA,NY4,NYP,NYP,NY4,NY4,New York Metropolitans
1885,AA,PH4,PHA,PHA,PH4,PH4,Philadelphia Athletics
1885,NL,PHI,PHI,PHI,PHI,PHI,Philadelphia Quakers
1885,NL,PRO,PRO,PRO,PRO,PRO,Providence Grays
1885,AA,PT1,PIT,PIT,PT1,PT1,Pittsburg Alleghenys
1885,AA,SL4,STL,STL,SL4,SL4,St. Louis Browns
1885,NL,SL5,SLM,SLM,SL5,SL5,St. Louis Maroons
1886,AA,BL2,BLO,BAL,BL2,BL2,Baltimore Orioles
1886,AA,BR3,LAD,BRO,BR3,BR3,Brooklyn Grays
1886,NL,BSN,ATL,BSN,BSN,BSN,Boston Beaneaters
1886,NL,CHN,CHC,CHC,CHN,CHN,Chicago White Stockings
1886,AA,CN2,CIN,CIN,CN2,CN2,Cincinnati Red Stockings
1886,NL,DTN,DTN,DTN,DTN,DTN,Detroit Wolverines
1886,NL,KCN,KCN,KCN,KCN,KCN,Kansas City Cowboys
1886,AA,LS2,LOU,LOU,LS2,LS2,Louisville Colonels
1886,NL,NY1,SFG,NYG,NY1,NY1,New York Giants
1886,AA,NY4,NYP,NYP,NY4,NY4,New York Metropolitans
1886,AA,PH4,PHA,PHA,PH4,PH4,Philadelphia Athletics
1886,NL,PHI,PHI,PHI,PHI,PHI,Philadelphia Quakers
1886,AA,PT1,PIT,PIT,PT1,PT1,Pittsburg Alleghenys
1886,AA,SL4,STL,STL,SL4,SL4,St. Louis Browns
1886,NL,SL5,SLM,SLM,SL5,SL5,St. Louis Maroons
1886,NL,WS8,WNL,WHS,WS8,WS8,Washington Nationals
1887,AA,BL2,BLO,BAL,BL2,BL2,Baltimore Orioles
1887,AA,BR3,LAD,BRO,BR3,BR3,Brooklyn Grays
1887,NL,BSN,ATL,BSN,BSN,BSN,Boston Beaneaters
1887,NL,CHN,CHC,CHC,CHN,CHN,Chicago White Stockings
1887,AA,CL3,CLV,CLE,CL3,CL3,Cleveland Blues
1887,AA,CN2,CIN,CIN,CN2,CN2,Cincinnati Red Stockings
1887,NL,DTN,DTN,DTN,DTN,DTN,Detroit Wolverines
1887,NL,IN3,IND,IND,IN3,IN3,Indianapolis Hoosiers
1887,AA,LS2,LOU,LOU,LS2,LS2,Louisville Colonels
1887,NL,NY1,SFG,NYG,NY1,NY1,New York Giants
1887,AA,NY4,NYP,NYP,NY4,NY4,New York Metropolitans
1887,AA,PH4,PHA,PHA,PH4,PH4,Philadelphia Athletics
1887,NL,PHI,PHI,PHI,PHI,PHI,Philadelphia Quakers
1887,NL,PIT,PIT,PIT,PIT,PIT,Pittsburg Alleghenys
1887,AA,SL4,STL,STL,SL4,SL4,St. Louis Browns
1887,NL,WS8,WNL,WHS,WS8,WS8,Washington Nationals
1888,AA,BL2,BLO,BAL,BL2,BL2,Baltimore Orioles
1888,AA,BR3,LAD,BRO,BR3,BR3,Brooklyn Bridegrooms
1888,NL,BSN,ATL,BSN,BSN,BSN,Boston Beaneaters
1888,NL,CHN,CHC,CHC,CHN,CHN,Chicago White Stockings
1888,AA,CL3,CLV,CLE,CL3,CL3,Cleveland Blues
1888,AA,CN2,CIN,CIN,CN2,CN2,Cincinnati Red Stockings
1888,NL,DTN,DTN,DTN,DTN,DTN,Detroit Wolverines
1888,NL,IN3,IND,IND,IN3,IN3,Indianapolis Hoosiers
1888,AA,KC2,KCC,KCC,KC2,KC2,Kansas City Cowboys
1888,AA,LS2,LOU,LOU,LS2,LS2,Louisville Colonels
1888,NL,NY1,SFG,NYG,NY1,NY1,New York Giants
1888,AA,PH4,PHA,PHA,PH4,PH4,Philadelphia Athletics
1888,NL,PHI,PHI,PHI,PHI,PHI,Philadelphia Quakers
1888,NL,PIT,PIT,PIT,PIT,PIT,Pittsburg Alleghenys
1888,AA,SL4,STL,STL,SL4,SL4,St. Louis Browns
1888,NL,WS8,WNL,WHS,WS8,WS8,Washington Nationals
1889,AA,BL2,BLO,BAL,BL2,BL2,Baltimore Orioles
1889,AA,BR3,LAD,BRO,BR3,BR3,Brooklyn Bridegrooms
1889,NL,BSN,ATL,BSN,BSN,BSN,Boston Beaneaters
1889,NL,CHN,CHC,CHC,CHN,CHN,Chicago White Stockings
1889,NL,CL4,CLV,CLV,CL4,CL4,Cleveland Spiders
1889,AA,CL6,CLS,COL,CL6,CL6,Columbus Solons
1889,AA,CN2,CIN,CIN,CN2,CN2,Cincinnati Red Stockings
1889,NL,IN3,IND,IND,IN3,IN3,Indianapolis Hoosiers
1889,AA,KC2,KCC,KCC,KC2,KC2,Kansas City Cowboys
1889,AA,LS2,LOU,LOU,LS2,LS2,Louisville Colonels
1889,NL,NY1,SFG,NYG,NY1,NY1,New York Giants
1889,AA,PH4,PHA,PHA,PH4,PH4,Philadelphia Athletics
1889,NL,PHI,PHI,PHI,PHI,PHI,Philadelphia Quakers
1889,NL,PIT,PIT,PIT,PIT,PIT,Pittsburg Alleghenys
1889,AA,SL4,STL,STL,SL4,SL4,St. Louis Browns
1889,NL,WS8,WNL,WHS,WS8,WS8,Washington Nationals
1890,PL,BFP,BFB,BUF,BFP,BFP,Buffalo Bisons
1890,AA,BL3,BLO,BAL,BL3,BL3,Baltimore Orioles
1890,AA,BR4,BRG,BRG,BR4,BR4,Brooklyn Gladiators
1890,NL,BRO,LAD,BRO,BRO,BRO,Brooklyn Bridegrooms
1890,PL,BRP,BWW,BWW,BRP,BRP,Brooklyn Ward's Wonders
1890,NL,BSN,ATL,BSN,BSN,BSN,Boston Beaneaters
1890,PL,BSP,BRS,BOS,BSP,BSP,Boston Reds
1890,NL,CHN,CHC,CHC,CHN,CHN,Chicago Colts
1890,PL,CHP,CHP,CHI,CHP,CHP,Chicago Pirates
1890,NL,CIN,CIN,CIN,CIN,CIN,Cincinnati Reds
1890,NL,CL4,CLV,CLV,CL4,CL4,Cleveland Spiders
1890,AA,CL6,CLS,COL,CL6,CL6,Columbus Solons
1890,PL,CLP,CLI,CLE,CLP,CLP,Cleveland Infants
1890,AA,LS2,LOU,LOU,LS2,LS2,Louisville Colonels
1890,NL,NY1,SFG,NYG,NY1,NY1,New York Giants
1890,PL,NYP,NYI,NYI,NYP,NYP,New York Giants
1890,AA,PH4,PHA,PHA,PH4,PH4,Philadelphia Athletics
1890,NL,PHI,PHI,PHI,PHI,PHI,Philadelphia Phillies
1890,PL,PHP,PHQ,PHQ,PHP,PHP,Philadelphia Athletics
1890,NL,PIT,PIT,PIT,PIT,PIT,Pittsburg Alleghenys
1890,PL,PTP,PBB,PBB,PTP,PTP,Pittsburgh Burghers
1890,AA,RC2,ROC,ROC,RC2,RC2,Rochester Broncos
1890,AA,SL4,STL,STL,SL4,SL4,St. Louis Browns
1890,AA,SR2,SYS,SYR,SR2,SR2,Syracuse Stars
1890,AA,TL2,TLM,TOL,TL2,TL2,Toledo Maumees
1891,AA,BL3,BLO,BAL,BL3,BL3,Baltimore Orioles
1891,NL,BRO,LAD,BRO,BRO,BRO,Brooklyn Grooms
1891,AA,BS2,BRS,BOS,BS2,BS2,Boston Reds
1891,NL,BSN,ATL,BSN,BSN,BSN,Boston Beaneaters
1891,NL,CHN,CHC,CHC,CHN,CHN,Chicago Colts
1891,NL,CIN,CIN,CIN,CIN,CIN,Cincinnati Reds
1891,NL,CL4,CLV,CLV,CL4,CL4,Cleveland Spiders
1891,AA,CL6,CLS,COL,CL6,CL6,Columbus Solons
1891,AA,CN3,CKK,CKK,CN3,CN3,Cincinnati Kelly's Killers
1891,AA,LS2,LOU,LOU,LS2,LS2,Louisville Colonels
1891,AA,ML3,MLA,MIL,ML3,ML3,Milwaukee Brewers
1891,NL,NY1,SFG,NYG,NY1,NY1,New York Giants
